USING melee


MULTIPLIER_DAMAGE_ENEMY_POS						    1.8
MULTIPLIER_KILL_ENEMY							1.8
MULTIPLIER_ENDPOS_ENEMIES_NEARBY				5.00

USE_ITEM_MODIFIER						0.1
MULTIPLIER_HEAL_ALLY_POS						0.1
MULTIPLIER_DOT_ENEMY_POS						0.1
MULTIPLIER_HOT_ENEMY_POS						0.1
MULTIPLIER_CONTROL_ENEMY_POS					0.1
MULTIPLIER_BOOST_ENEMY_POS		 				0.1
MULTIPLIER_BOOST_ALLY_POS		 				0.1
MULTIPLIER_BOOST_ALLY_NEG		 				8.0
MULTIPLIER_CONTROL_ENEMY_NEG					8.0
MULTIPLIER_HOT_ENEMY_NEG						8.0
MULTIPLIER_BOOST_ENEMY_NEG		 				8.0
MULTIPLIER_DOT_ENEMY_NEG						8.0
MULTIPLIER_DOT_ALLY_NEG		 					8.0
MULTIPLIER_DAMAGE_ALLY_NEG						16.0
MULTIPLIER_HOT_ALLY_NEG		 					8.0
MULTIPLIER_CONTROL_ALLY_NEG		 				16.0
MULTIPLIER_HEAL_SELF_NEG						2.0
MULTIPLIER_HEAL_ALLY_NEG						2.0
MULTIPLIER_HEAL_NEUTRAL_NEG						2.0
MULTIPLIER_HEAL_ENEMY_NEG						2.0
MULTIPLIER_DAMAGE_ALLY_POS						0.1

//careful
//MAX_HEAL_SELF_MULTIPLIER						1.0
//MULTIPLIER_HEAL_SELF_POS						1.09

MULTIPLIER_TARGET_MY_ENEMY						1.35

BOOST_IGNORE_AOO_MIN_MOVEMENT                   3.0
MULTIPLIER_BOOST_IGNORE_AOO 						-0.05


//melee cares more about retrieving their weapons
WEAPON_PICKUP_MODIFIER							 1.15

// Concentration is important
MODIFIER_CONCENTRATION_REMOVE_SELF 						19.0

MODIFIER_SEEK_MINIMAL_THRESHOLD 0.45
MULTIPLIER_ENDPOS_NOT_IN_DANGEROUS_SURFACE		0.70

// Important for 'AI Allies: Orders'
MULTIPLIER_TARGET_PREFERRED						6.00
MULTIPLIER_TARGET_UNPREFERRED					0.10

