USING ranged
// AI Allies: Ranged Healer Archetype
// Prioritizes healing and support from a safe distance
// Maintains positioning away from frontline combat

MULTIPLIER_HEAL_SELF_POS						0.79
MULTIPLIER_HEAL_ALLY_POS						0.89
MAX_HEAL_MULTIPLIER								1.0
MAX_HEAL_SELF_MULTIPLIER						1.0

MULTIPLIER_DAMAGE_ENEMY_POS						0.5
MULTIPLIER_KILL_ENEMY							0.5


USE_ITEM_MODIFIER						0.1
MULTIPLIER_BOOST_ALLY_POS		 				1.15
MULTIPLIER_BOOST_SELF_POS		 				1.1
MULTIPLIER_BOOST_NEUTRAL_POS					1.05

MULTIPLIER_DOT_ALLY_NEG		 					8.0
MULTIPLIER_DAMAGE_ALLY_NEG						16.0
MULTIPLIER_HOT_ALLY_NEG		 					8.0
MULTIPLIER_CONTROL_ALLY_NEG		 				16.0
MULTIPLIER_HEAL_SELF_NEG						2.0
MULTIPLIER_HEAL_ALLY_NEG						2.0
MULTIPLIER_HEAL_NEUTRAL_NEG						2.0
MULTIPLIER_HEAL_ENEMY_NEG						2.0
MULTIPLIER_TARGET_MY_ENEMY						1.35
MULTIPLIER_DAMAGE_ALLY_POS						0.1


MULTIPLIER_TARGET_ALLY_DOWNED 					10.00
MULTIPLIER_TARGET_HEALTH_BIAS					0.40

WEAPON_PICKUP_MODIFIER 							1.15

MULTIPLIER_RESURRECT							15.00

BOOST_IGNORE_AOO_MIN_MOVEMENT                   3.0

// ranged
MULTIPLIER_ENDPOS_ALLIES_NEARBY					0.00
MULTIPLIER_ENDPOS_ENEMIES_NEARBY				-2.00
ENDPOS_ENEMIES_NEARBY_MAX_DISTANCE				7.00


MULTIPLIER_FALLBACK_ALLIES_NEARBY				0.00
MULTIPLIER_FALLBACK_ENEMIES_NEARBY				-5.00
FALLBACK_ENEMIES_NEARBY_MAX_DISTANCE			10.00


MULTIPLIER_FIRST_ACTION_BUFF					2.25

// Concentration is important
MODIFIER_CONCENTRATION_REMOVE_SELF 						19.0

MODIFIER_SEEK_MINIMAL_THRESHOLD 0.45
MULTIPLIER_ENDPOS_NOT_IN_DANGEROUS_SURFACE		0.70

// Important for 'AI Allies: Orders'
MULTIPLIER_TARGET_PREFERRED						6.00
MULTIPLIER_TARGET_UNPREFERRED					0.10

