USING melee

// Multiplier for buffs as the first action - taken from Ranged arcehtype since it makes sense
MULTIPLIER_FIRST_ACTION_BUFF					2.25
MULTIPLIER_BOOST_WEAPON_DAMAGE 					0.09
MULTIPLIER_BOOST_SELF_POS		 				1.2
MULTIPLIER_ENDPOS_ENEMIES_NEARBY				1.50


USE_ITEM_MODIFIER						0.1
MULTIPLIER_HEAL_ALLY_POS						0.3
MULTIPLIER_BOOST_ENEMY_POS		 				1.25
MULTIPLIER_CONTROL_ENEMY_POS					1.25
MULTIPLIER_BLIND								0.20
MULTIPLIER_DOT_ENEMY_POS						1.25

MULTIPLIER_DOT_ALLY_NEG		 					8.0
MULTIPLIER_DAMAGE_ALLY_NEG						16.0
MULTIPLIER_HOT_ALLY_NEG		 					8.0
MULTIPLIER_CONTROL_ALLY_NEG		 				16.0
MULTIPLIER_HEAL_SELF_NEG						2.0
MULTIPLIER_HEAL_ALLY_NEG						2.0
MULTIPLIER_HEAL_NEUTRAL_NEG						2.0
MULTIPLIER_HEAL_ENEMY_NEG						2.0
MULTIPLIER_DAMAGE_ALLY_POS						0.1

MULTIPLIER_DAMAGE_NEUTRAL_NEG					4.0
MULTIPLIER_TARGET_MY_ENEMY						1.35

//melee cares less about ignore AoO
BOOST_IGNORE_AOO_MIN_MOVEMENT                   3.0
MULTIPLIER_BOOST_IGNORE_AOO 						-0.05


//melee cares more about retrieving their weapons
WEAPON_PICKUP_MODIFIER 							1.15

// Concentration is important
MODIFIER_CONCENTRATION_REMOVE_SELF 						19.0

MODIFIER_SEEK_MINIMAL_THRESHOLD 0.45
MULTIPLIER_ENDPOS_NOT_IN_DANGEROUS_SURFACE		0.70

// Important for 'AI Allies: Orders'
MULTIPLIER_TARGET_PREFERRED						6.00
MULTIPLIER_TARGET_UNPREFERRED					0.10

// Test - Should focus high health targets
MULTIPLIER_TARGET_HEALTH_BIAS					-0.50

