treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "UNI_MagicItems"
new subtable "1,1"
object category "MagicWeapons",1,0,0,0,0,0,0,0
new treasuretable "ST_MagicItems_Unique"
new subtable "1,1"
object category "I_UNI_DoomHammer",1,0,0,0,0,0,0,0
object category "I_UNI_RepeatStaff",1,0,0,0,0,0,0,0
object category "I_UNI_MassHealRing",1,0,0,0,0,0,0,0
object category "I_UNI_MartyrAmulet",1,0,0,0,0,0,0,0
new treasuretable "ST_MagicItems_Generic"
new subtable "1,1"
object category "T_Empty",1,0,0,0,0,0,0,0
new treasuretable "MagicItems"
new subtable "1,1; 2,1; 3,1"
object category "T_ST_MagicItems_Generic",1,0,0,0,0,0,0,0
new treasuretable "GEN_Book"
new subtable "1,1"
object category "T_Empty",1,0,0,0,0,0,0,0
new treasuretable "GEN_Book_Pile"
new subtable "1,1"
object category "T_Empty",1,0,0,0,0,0,0,0
new treasuretable "UND_Supplies"
new subtable "1,2;2,1"
object category "I_CONS_FOOD_Fish_Big",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fish_Big_Headface",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fish_Small_A",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fish_Small_B",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fish_Small_C",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fish_Small_D",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fish_Small_E",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Cheese_Piece",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_GlowcapMushroom",6,0,0,0,0,0,0,0
object category "I_CONS_FOOD_FungusSalad",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_BluecapMushroom",4,0,0,0,0,0,0,0
object category "I_UNI_UND_NarrativeLoot_BlingdenstoneWine",2,0,0,0,0,0,0,0
new treasuretable "GOB_Goblin_Generic_Common"
new subtable "1,1"
object category "I_OBJ_Bone",1,0,0,0,0,0,0,0
object category "I_OBJ_Skull",1,0,0,0,0,0,0,0
object category "I_OBJ_Bottle",1,0,0,0,0,0,0,0
object category "T_ST_Alchemy_Mushroom_Common",2,0,0,0,0,0,0,0
new treasuretable "GOB_Goblin_Generic_Rare"
new subtable "1,1"
object category "I_OBJ_Candle",1,0,0,0,0,0,0,0
object category "I_Cup_Metal",1,0,0,0,0,0,0,0
object category "I_OBJ_Tool_Tong",1,0,0,0,0,0,0,0
object category "I_OBJ_Kitchenware_Cutlery_Fork_Iron",1,0,0,0,0,0,0,0
object category "I_OBJ_Kitchenware_Cutlery_Ladle",1,0,0,0,0,0,0,0
object category "I_OBJ_Tool_Shovel",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Egg_Rotten",1,0,0,0,0,0,0,0
object category "I_OBJ_Music_GuitarLute_Broken",1,0,0,0,0,0,0,0
object category "I_OBJ_Music_Viol_Bow",1,0,0,0,0,0,0,0
object category "I_OBJ_GreaseBottle",1,0,0,0,0,0,0,0
object category "I_Toy_TeddyBear_Worn",1,0,0,0,0,0,0,0
object category "I_OBJ_Cauldron_Lid_C",1,0,0,0,0,0,0,0
object category "BookChildren",1,0,0,0,0,0,0,0
object category "T_ST_Alchemy_Loot_Common",1,0,0,0,0,0,0,0
new treasuretable "GOB_Goblin_Generic"
new subtable "1,1"
object category "T_GOB_Goblin_Generic_Common",4,0,0,0,0,0,0,0
object category "T_GOB_Goblin_Generic_Rare",1,0,0,0,0,0,0,0
new subtable "0,1; 1,3; 2,3"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new treasuretable "_TUT"
new treasuretable "TUT_Imp_Handaxe"
new subtable "1,1"
object category "I_WPN_Handaxe",1,0,0,0,0,0,0,0
new treasuretable "TUT_Imp_Scimitar"
new subtable "1,1"
object category "I_WPN_Scimitar",1,0,0,0,0,0,0,0
new treasuretable "TUT_Imp_Crossbow"
new subtable "1,1"
object category "I_WPN_LightCrossbow",1,0,0,0,0,0,0,0
new treasuretable "TUT_Imp_Dagger"
new subtable "1,1"
object category "I_WPN_Dagger",1,0,0,0,0,0,0,0
new treasuretable "TUT_Mindflayer_Dead"
new subtable "1,1; 2,1"
object category "I_OBJ_MindflayerBulb_Caustic",1,0,0,0,0,0,0,0
object category "I_OBJ_MindflayerBulb_Spiked",2,0,0,0,0,0,0,0
object category "I_OBJ_MindflayerBulb_Vacuum",3,0,0,0,0,0,0,0
new subtable "0,2;1,1"
object category "I_OBJ_Skull",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Speed",1,0,0,0,0,0,0,0
object category "T_Empty",1,0,0,0,0,0,0,0
new treasuretable "TUT_Victim_Generic"
new subtable "1,1"
object category "T_Gold_Meager",2,0,0,0,0,0,0,0
object category "T_Gold_Pocket_Poor",2,0,0,0,0,0,0,0
object category "T_Empty",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_ST_GEN_Valuables_Jewelry_Copper",1,0,0,0,0,0,0,0
object category "I_OBJ_Bottle",1,0,0,0,0,0,0,0
object category "I_OBJ_Feather",1,0,0,0,0,0,0,0
object category "I_Cup_Metal",1,0,0,0,0,0,0,0
object category "I_OBJ_Candle",1,0,0,0,0,0,0,0
new treasuretable "TUT_Victim_Wizard"
new subtable "1,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Scroll_MageArmor",1,0,0,0,0,0,0,0
new treasuretable "TUT_Victim_Fighter"
new subtable "1,1"
object category "T_Gold_Meager",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_WPN_Longsword",1,0,0,0,0,0,0,0
new treasuretable "TUT_Victim_Alchemist"
new subtable "1,1"
object category "I_OBJ_Potion_Of_Poison_Resistance",1,0,0,0,0,0,0,0
new subtable "3,1; 4,1"
object category "T_ST_Alchemy_Herb",1,0,0,0,0,0,0,0
new treasuretable "TUT_Victim_SharCleric"
new subtable "1,1"
object category "T_Gold_Pocket_Modest",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Scroll_ProtectionFromEvilAndGood",1,0,0,0,0,0,0,0
new treasuretable "TUT_DeadTrall"
new subtable "1,1"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
object category "T_Gold_Meager",2,0,0,0,0,0,0,0
object category "T_Gold_Pocket_Poor",1,0,0,0,0,0,0,0
new treasuretable "TUT_Chest_Potions"
new subtable "2,1"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
new treasuretable "TUT_Chest_Grenades_Common"
new subtable "1,1"
object category "I_OBJ_FireBottle",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_GreaseBottle",1,0,0,0,0,0,0,0
new treasuretable "TUT_Chest_Grenades_MFL"
new subtable "3,1;4,1"
object category "I_OBJ_MindflayerBulb_Caustic",1,0,0,0,0,0,0,0
object category "I_OBJ_MindflayerBulb_Spiked",1,0,0,0,0,0,0,0
object category "I_OBJ_MindflayerBulb_Vacuum",2,0,0,0,0,0,0,0
