treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "PLA_Zhentarim_LockedRoom_Treasure"
new subtable "-1"
object category "I_MAG_Zhentarim_Demonspirit_Gloves",1,0,0,0,0,0,0,0
new treasuretable "UND_Spectator_Reward"
new subtable "-1"
object category "I_MAG_SpectatorEye_Amulet",1,0,0,0,0,0,0,0
new treasuretable "CRE_Supplies_Poor"
new subtable "1,2;2,1"
object category "I_CONS_DRINK_Oil",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Bread_Bun",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Bread_Loaf",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Cheese_Piece",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Egg",1,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_Ham",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_FOOD_PorkPiece_B",1,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_PorkPiece_C",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage_B",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage_C",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage_D",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Apple",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Vegetable_Potato",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Orange",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Lemon",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_YellowOnion",2,0,0,0,0,0,0,0
object category "I_CONS_DRINK_Wine",1,0,0,0,0,0,0,0
object category "I_CONS_DRINK_Rum",1,0,0,0,0,0,0,0
object category "I_CONS_DRINK_Wine_Bottle",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Ration",1,0,0,0,0,0,0,0
new treasuretable "CRE_Supplies_Fancy"
new subtable "1,2;2,1"
object category "I_CONS_FOOD_Cheese",1,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_Meat_Grilled",1,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_Meat_Grilled_B",1,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_Meat_Grilled_C",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage_Piled",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage_Piled_B",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Melon",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_RoastedPig",1,0,0,0,0,0,0,0
object category "I_Food_Neogi_Rolls",2,0,0,0,0,0,0,0
object category "I_Food_Neogi_Claws",2,0,0,0,0,0,0,0
object category "I_Food_Giant_Hamster",2,0,0,0,0,0,0,0
object category "I_Food_Beholder_Eyes",2,0,0,0,0,0,0,0
new treasuretable "CRE_Supplies_Crates"
new subtable "0,1;1,2;2,1"
object category "T_CRE_Supplies_Poor",4,0,0,0,0,0,0,0
object category "T_Supplies_Spoiled",1,0,0,0,0,0,0,0
new treasuretable "CRE_Supplies_Gith_NPC"
new subtable "0,1;1,2;2,1"
object category "T_CRE_Supplies_Poor",3,0,0,0,0,0,0,0
object category "T_CRE_Supplies_Fancy",1,0,0,0,0,0,0,0
new treasuretable "CRE_Supplies_Gith_Trader"
new subtable "2,2;3,3;4,1;5,1"
object category "T_CRE_Supplies_Poor",3,0,0,0,0,0,0,0
object category "T_CRE_Supplies_Fancy",2,0,0,0,0,0,0,0
new treasuretable "CRE_Skeletons_Necromancer"
new subtable "1,1"
object category "T_Gold_Pocket_Normal",1,0,0,0,0,0,0,0
new subtable "2,1"
object category "I_OBJ_Bone",1,0,0,0,0,0,0,0
object category "I_OBJ_Candle",1,0,0,0,0,0,0,0
object category "T_Valuables_Gems",1,0,0,0,0,0,0,0
object category "T_Valuables_Jewelry",1,0,0,0,0,0,0,0
new treasuretable "SCL_Supplies_Poor"
new subtable "1,1"
object category "I_CONS_DRINK_Rum",1,0,0,0,0,0,0,0
object category "I_CONS_DRINK_Beer",1,0,0,0,0,0,0,0
object category "I_CONS_DRINK_Wine",1,0,0,0,0,0,0,0
object category "I_CONS_DRINK_Wine_Bottle",1,0,0,0,0,0,0,0
object category "I_CONS_DRINK_Wine_Bottle_Wicker",1,0,0,0,0,0,0,0
object category "I_CONS_DRINK_Tea",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Bread_Bagel",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Bread_Baguette",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Bread_Bun",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Bread_Loaf",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Cheese",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Cheese_Piece",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Egg",2,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_Ham",1,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_Meat",1,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_PorkPiece_B",2,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_PorkPiece_C",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage_B",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage_C",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage_D",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Vegetable_Potato",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Vegetable_Carrot",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Fruit_Orange",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_GoatMeat",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Ration",4,0,0,0,0,0,0,0
object category "I_Food_Potato_Scones",2,0,0,0,0,0,0,0
object category "I_Food_Horseradish_Single",4,0,0,0,0,0,0,0
object category "I_Food_Horseradish_Bundle",3,0,0,0,0,0,0,0
new treasuretable "SCL_Supplies_Fancy"
new subtable "1,1"
object category "I_CONS_FOOD_Cheese",1,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_Chicken",2,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_Chicken_B",2,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_Meat_Grilled",2,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_Meat_Grilled_B",2,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_Meat_Grilled_C",2,0,0,0,0,0,0,0
object category "I_OBJ_FOOD_PorkHead",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage_Piled",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Sausage_Piled_B",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Porridge_Potatoes",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Soup_Pumpkin",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Stew",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Vegetable_Pumpkin",1,0,0,0,0,0,0,0
object category "I_CONS_FOOD_FungusSalad",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_RoastedPig",2,0,0,0,0,0,0,0
object category "I_CONS_FOOD_Soup",2,0,0,0,0,0,0,0
object category "I_Food_Black_Pudding",3,0,0,0,0,0,0,0
object category "I_Food_Bubble_Squeak",3,0,0,0,0,0,0,0
object category "I_Food_Potato_Scones",3,0,0,0,0,0,0,0
new treasuretable "SCL_Supplies_Crates"
new subtable "0,1;1,2;2,1"
object category "T_SCL_Supplies_Poor",1,0,0,0,0,0,0,0
object category "T_Supplies_Spoiled",3,0,0,0,0,0,0,0
new treasuretable "SCL_Supplies_Trader"
new subtable "2,2;3,3;4,1;5,1"
object category "T_SCL_Supplies_Poor",2,0,0,0,0,0,0,0
object category "T_SCL_Supplies_Fancy",1,0,0,0,0,0,0,0
new treasuretable "SCL_Supplies_NPC"
new subtable "0,1;1,2;2,1"
object category "T_SCL_Supplies_Poor",5,0,0,0,0,0,0,0
object category "T_SCL_Supplies_Fancy",1,0,0,0,0,0,0,0
object category "T_Supplies_Spoiled",2,0,0,0,0,0,0,0
new treasuretable "BGO_Supplies_Poor"
new subtable "1,2;2,3;3,1"
object category "T_Supplies_Food_2",15,0,0,0,0,0,0,0
object category "T_Supplies_Food_3",12,0,0,0,0,0,0,0
object category "T_Supplies_Food_4",3,0,0,0,0,0,0,0
object category "T_Supplies_Food_5",3,0,0,0,0,0,0,0
object category "T_Supplies_Food_6",3,0,0,0,0,0,0,0
object category "T_Supplies_Food_7",1,0,0,0,0,0,0,0
object category "T_Supplies_Food_10",1,0,0,0,0,0,0,0
object category "I_Food_Horseradish_Single",3,0,0,0,0,0,0,0
new treasuretable "BGO_Supplies_Fancy"
new subtable "1,2;2,3;3,1"
object category "T_Supplies_Food_10",1,0,0,0,0,0,0,0
object category "T_Supplies_Food_10_Cooked",1,0,0,0,0,0,0,0
object category "T_Supplies_Food_15_Cooked",3,0,0,0,0,0,0,0
object category "T_Supplies_Food_20_Cooked",3,0,0,0,0,0,0,0
object category "I_Food_Bubble_Squeak",1,0,0,0,0,0,0,0
object category "I_Food_Haggis",1,0,0,0,0,0,0,0
object category "I_Food_Roast_Beef",1,0,0,0,0,0,0,0
object category "I_Food_Potato_Scones",2,0,0,0,0,0,0,0
object category "I_Food_Black_Pudding",2,0,0,0,0,0,0,0
object category "I_Food_Horseradish_Bundle",1,0,0,0,0,0,0,0
