treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "ST_Alchemy_Loot_Common"
new subtable "1,1"
EndLevel "5"
object category "I_ALCH_Ingredient_Part_HyenaEar",0,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MudMephitWing",0,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Laculite",0,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Viridian",2,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_FireAmber",3,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_SpiderGland",2,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WorgFang",0,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
EndLevel "8"
object category "I_ALCH_Ingredient_Part_HyenaEar",0,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Laculite",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MudMephitWing",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Viridian",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_OchreJellySlime",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_FireAmber",2,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_SnakeFang",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_SpiderGland",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WorgFang",0,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_Nothic",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "I_ALCH_Ingredient_Part_HyenaEar",0,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Laculite",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MudMephitWing",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_Viridian",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_OchreJellySlime",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_FireAmber",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_SnakeFang",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_SpiderGland",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WorgFang",0,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_Nothic",1,0,0,0,0,0,0,0
new treasuretable "ST_Alchemy_Loot_Rare"
new subtable "1,1"
EndLevel "5"
object category "I_ALCH_Ingredient_Loot_HillGiantFinger",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WoodBark",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MudMephitWing",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_PegasusFeather",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_SylvanStone",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_HyenaEar",0,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WorgFang",0,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "6"
EndLevel "8"
object category "I_ALCH_Ingredient_Loot_DivineBoneShard",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ImpPatagium",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_HillGiantFinger",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_CloudGiantFinger",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_KiRinHair",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_GauthEye",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_XornScales",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_ChasmCreeper",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_EagleFeather",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WoodBark",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_PegasusFeather",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ScryingEye",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_SylvanStone",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_LolthsCandle",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MagmaMephitHeart",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_IceMephitHeart",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_WyvernStinger",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_SporeTimmask",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MyconidSpore_Haste",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MyconidSpore_Poison",1,0,0,0,0,0,0,0
object category "I_LOOT_Underdark_HookHorrorClaw",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ImpPatagium",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_FrostSalamander",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_HyenaEar",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WorgFang",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "I_ALCH_Ingredient_Loot_DivineBoneShard",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ImpPatagium",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_CloudGiantFinger",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_KiRinHair",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_GauthEye",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_BeholderEye",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_XornScales",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_ChasmCreeper",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_EagleFeather",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WoodBark",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_PegasusFeather",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ScryingEye",1,0,0,0,0,0,0,0
object category "I_OBJ_Crystal_LolthsCandle",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_Shadowcursed",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MagmaMephitHeart",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_IceMephitHeart",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_PurpleWorm",1,0,0,0,0,0,0,0
object category "I_CONS_Mushrooms_SporeTimmask",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MyconidSpore_Haste",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_MyconidSpore_Poison",1,0,0,0,0,0,0,0
object category "I_LOOT_Underdark_HookHorrorClaw",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_ImpPatagium",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_FrostSalamander",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Herb_NightOrchid",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Loot_BehirScales",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_HyenaEar",1,0,0,0,0,0,0,0
object category "I_ALCH_Ingredient_Part_WorgFang",1,0,0,0,0,0,0,0
new treasuretable "ST_Stash_Hunter_Potions"
new subtable "1,1"
object category "T_Alchemy_Potion_Healing",2,0,0,0,0,0,0,0
object category "I_ALCH_Solution_Potion_Jump",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Animal_Speaking",1,0,0,0,0,0,0,0
object category "I_OBJ_Potion_Of_Speed",0,0,0,0,0,0,0,0
object category "I_OBJ_Antitoxin",1,0,0,0,0,0,0,0
